Country,Latitude,Longitude,Arrive,Latitude,Longitude,Amount,Year
Bhutan,27.514162,90.433601,Australia,-25.274398,133.775136,1910,2019
India,20.593684,78.96288,Australia,-25.274398,133.775136,68840,2019
Maldives,3.202778,73.22068,Australia,-25.274398,133.775136,20,2019
Nepal,28.394857,84.124008,Australia,-25.274398,133.775136,23100,2019
Pakistan,30.375321,69.345116,Australia,-25.274398,133.775136,7400,2019
Sri Lanka,7.873054,80.771797,Australia,-25.274398,133.775136,6550,2019
Afghanistan,33.93911,67.709953,Australia,-25.274398,133.775136,2940,2019
Armenia,40.069099,45.038189,Australia,-25.274398,133.775136,20,2019
Azerbaijan,40.143105,47.576927,Australia,-25.274398,133.775136,20,2019
Georgia,32.1656221,-82.9000751,Australia,-25.274398,133.775136,40,2019
Kazakhstan,48.019573,66.923684,Australia,-25.274398,133.775136,110,2019
Kyrgyzstan,41.20438,74.766098,Australia,-25.274398,133.775136,40,2019
Tajikistan,38.861034,71.276093,Australia,-25.274398,133.775136,10,2019
Turkmenistan,38.969719,59.556278,Australia,-25.274398,133.775136,10,2019
Uzbekistan,41.377491,64.585262,Australia,-25.274398,133.775136,90,2019
Bermuda,32.3078,-64.7505,Australia,-25.274398,133.775136,0,2019
Canada,56.130366,-106.346771,Australia,-25.274398,133.775136,990,2019
St Pierre/Mique,,,Australia,-25.274398,133.775136,0,2019
USA,37.09024,-95.712891,Australia,-25.274398,133.775136,800,2019
Argentina,-38.416097,-63.616672,Australia,-25.274398,133.775136,1620,2019
Bolivia,-16.290154,-63.588653,Australia,-25.274398,133.775136,40,2019
Brazil,-14.235004,-51.92528,Australia,-25.274398,133.775136,4480,2019
Chile,-35.675147,-71.542969,Australia,-25.274398,133.775136,1460,2019
Colombia,4.570868,-74.297333,Australia,-25.274398,133.775136,4660,2019
Ecuador,-1.831239,-78.183406,Australia,-25.274398,133.775136,70,2019
Falkland Is,-51.796253,-59.523613,Australia,-25.274398,133.775136,0,2019
French Guiana,3.933889,-53.125782,Australia,-25.274398,133.775136,0,2019
Guyana,4.860416,-58.93018,Australia,-25.274398,133.775136,10,2019
Paraguay,-23.442503,-58.443832,Australia,-25.274398,133.775136,10,2019
Peru,-9.189967,-75.015152,Australia,-25.274398,133.775136,330,2019
Suriname,3.919305,-56.027783,Australia,-25.274398,133.775136,0,2019
Uruguay,-32.522779,-55.765835,Australia,-25.274398,133.775136,190,2019
Venezuela,6.42375,-66.58973,Australia,-25.274398,133.775136,80,2019
"S America, nec",-23.5517181,-46.6604353,Australia,-25.274398,133.775136,0,2019
Belize,17.189877,-88.49765,Australia,-25.274398,133.775136,0,2019
Costa Rica,9.748917,-83.753428,Australia,-25.274398,133.775136,40,2019
El Salvador,13.794185,-88.89653,Australia,-25.274398,133.775136,40,2019
Guatemala,15.783471,-90.230759,Australia,-25.274398,133.775136,40,2019
Honduras,15.199999,-86.241905,Australia,-25.274398,133.775136,20,2019
Mexico,23.634501,-102.552784,Australia,-25.274398,133.775136,620,2019
Nicaragua,12.865416,-85.207229,Australia,-25.274398,133.775136,20,2019
Panama,8.537981,-80.782127,Australia,-25.274398,133.775136,10,2019
Anguilla,18.220554,-63.068615,Australia,-25.274398,133.775136,0,2019
Antigua/Barbuda,17.060816,-61.796428,Australia,-25.274398,133.775136,0,2019
Aruba,12.52111,-69.968338,Australia,-25.274398,133.775136,0,2019
Bahamas,25.03428,-77.39628,Australia,-25.274398,133.775136,0,2019
Barbados,13.193887,-59.543198,Australia,-25.274398,133.775136,10,2019
Cayman Islands,19.3133,-81.2546,Australia,-25.274398,133.775136,0,2019
Cuba,21.521757,-77.781167,Australia,-25.274398,133.775136,30,2019
Dominica,15.414999,-61.370976,Australia,-25.274398,133.775136,0,2019
Dominican Rep,18.735693,-70.162651,Australia,-25.274398,133.775136,0,2019
Grenada,12.1165,-61.679,Australia,-25.274398,133.775136,0,2019
Guadeloupe,16.265,-61.551,Australia,-25.274398,133.775136,0,2019
Haiti,18.971187,-72.285215,Australia,-25.274398,133.775136,0,2019
Jamaica,18.109581,-77.297508,Australia,-25.274398,133.775136,20,2019
Martinique,14.641528,-61.024174,Australia,-25.274398,133.775136,0,2019
Montserrat,16.742498,-62.187366,Australia,-25.274398,133.775136,0,2019
Puerto Rico,18.220833,-66.590149,Australia,-25.274398,133.775136,0,2019
St Kitts/Nevis,17.357822,-62.782998,Australia,-25.274398,133.775136,0,2019
St Lucia,13.909444,-60.978893,Australia,-25.274398,133.775136,10,2019
St Vinc/Grenad,12.984305,-61.287228,Australia,-25.274398,133.775136,0,2019
Trinidad/Tobago,10.691803,-61.222503,Australia,-25.274398,133.775136,20,2019
Turks/Caicos Is,21.694025,-71.797928,Australia,-25.274398,133.775136,0,2019
"Virgin Is, Brit",37.09024,-95.712891,Australia,-25.274398,133.775136,0,2019
"Virgin Is, US",18.335765,-64.896335,Australia,-25.274398,133.775136,10,2019
St Barthelemy,17.9,-62.833333,Australia,-25.274398,133.775136,0,2019
St Martin (Fr),46.5767192,6.8688219,Australia,-25.274398,133.775136,0,2019
Bonaire/SE/Saba,17.6354642,-63.2326763,Australia,-25.274398,133.775136,0,2019
Curacao,12.16957,-68.99002,Australia,-25.274398,133.775136,0,2019
Sint Maarten Dp,36.0984239,-95.876586,Australia,-25.274398,133.775136,0,2019
Benin,9.30769,2.315834,Australia,-25.274398,133.775136,0,2019
Burkina Faso,12.238333,-1.561593,Australia,-25.274398,133.775136,0,2019
Cameroon,7.369722,12.354722,Australia,-25.274398,133.775136,30,2019
Cabo Verde,16.5388,-23.0418,Australia,-25.274398,133.775136,0,2019
Cent Africa Rep,6.611111,20.939444,Australia,-25.274398,133.775136,60,2019
Chad,15.454166,18.732207,Australia,-25.274398,133.775136,20,2019
"Congo, Rep",-0.228021,15.827659,Australia,-25.274398,133.775136,30,2019
"Congo, Dem Rep",-4.038333,21.758664,Australia,-25.274398,133.775136,1450,2019
Cote d'Ivoire,7.539989,-5.54708,Australia,-25.274398,133.775136,10,2019
Equator Guinea,1.650801,10.267895,Australia,-25.274398,133.775136,0,2019
Gabon,-0.803689,11.609444,Australia,-25.274398,133.775136,0,2019
Gambia,13.443182,-15.310139,Australia,-25.274398,133.775136,0,2019
Ghana,7.946527,-1.023194,Australia,-25.274398,133.775136,320,2019
Guinea,9.945587,-9.696645,Australia,-25.274398,133.775136,20,2019
Guinea-Bissau,11.803749,-15.180413,Australia,-25.274398,133.775136,0,2019
Liberia,6.428055,-9.429499,Australia,-25.274398,133.775136,10,2019
Mali,17.570692,-3.996166,Australia,-25.274398,133.775136,0,2019
Mauritania,21.00789,-10.940835,Australia,-25.274398,133.775136,0,2019
Niger,17.607789,8.081666,Australia,-25.274398,133.775136,10,2019
Nigeria,9.081999,8.675277,Australia,-25.274398,133.775136,950,2019
Sao Tome/Princ,0.3301924,6.733343,Australia,-25.274398,133.775136,0,2019
Senegal,14.497401,-14.452362,Australia,-25.274398,133.775136,10,2019
Sierra Leone,8.460555,-11.779889,Australia,-25.274398,133.775136,10,2019
Togo,8.619543,0.824782,Australia,-25.274398,133.775136,0,2019
Angola,-11.202692,17.873887,Australia,-25.274398,133.775136,10,2019
Botswana,-22.328474,24.684866,Australia,-25.274398,133.775136,70,2019
Burundi,-3.373056,29.918886,Australia,-25.274398,133.775136,310,2019
Comoros,-11.6455,43.3333,Australia,-25.274398,133.775136,0,2019
Djibouti,11.825138,42.590275,Australia,-25.274398,133.775136,0,2019
Eritrea,15.179384,39.782334,Australia,-25.274398,133.775136,300,2019
Ethiopia,9.145,40.489673,Australia,-25.274398,133.775136,550,2019
Kenya,-0.023559,37.906193,Australia,-25.274398,133.775136,1260,2019
Lesotho,-29.609988,28.233608,Australia,-25.274398,133.775136,10,2019
Madagascar,-18.766947,46.869107,Australia,-25.274398,133.775136,20,2019
Malawi,-13.254308,34.301525,Australia,-25.274398,133.775136,140,2019
Mauritius,-20.348404,57.552152,Australia,-25.274398,133.775136,470,2019
Mayotte,-12.8275,45.166244,Australia,-25.274398,133.775136,0,2019
Mozambique,-18.665695,35.529562,Australia,-25.274398,133.775136,30,2019
Namibia,-22.95764,18.49041,Australia,-25.274398,133.775136,60,2019
Reunion,-21.115141,55.536384,Australia,-25.274398,133.775136,10,2019
Rwanda,-1.940278,29.873888,Australia,-25.274398,133.775136,90,2019
St Helena,38.5052429,-122.4703868,Australia,-25.274398,133.775136,0,2019
Seychelles,-4.679574,55.491977,Australia,-25.274398,133.775136,20,2019
Somalia,5.152149,46.199616,Australia,-25.274398,133.775136,30,2019
South Africa,-30.559482,22.937506,Australia,-25.274398,133.775136,5490,2019
Eswatini,-26.522503,31.465866,Australia,-25.274398,133.775136,10,2019
Tanzania,-6.369028,34.888822,Australia,-25.274398,133.775136,260,2019
Uganda,1.373333,32.290275,Australia,-25.274398,133.775136,170,2019
Zambia,-13.133897,27.849332,Australia,-25.274398,133.775136,100,2019
Zimbabwe,-19.015438,29.154857,Australia,-25.274398,133.775136,1040,2019
"S & E Afr, nec",36.2963735,-94.1229178,Australia,-25.274398,133.775136,0,2019
Inadequately Described,,,Australia,-25.274398,133.775136,0,2019
